book_id,title,ISBN,synopsis,publisher_id,year
1,The Screwtape Letters,,A Masterpiece of Satire on Hell’s Latest Novelties and Heaven’s Unanswerable Answer,1,2009
2,The Rise and Fall of the Third Reich: A History of Nazi Germany,9780671728687,Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.,2,1990
3,Behave: The Biology of Humans at Our Best and Worst,9781594205071,Why do we do the things we do?,3,2017
4,Harry Potter and the Half-Blood Prince,,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...",4,2006
5,Blink: The Power of Thinking Without Thinking,9780316010665,"Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way.",5,2007
6,The Elite,9780062059963,"The Selection began with thirty-five girls. Now with the group narrowed down to the six Elite, the competition to win Prince Maxon's heart is fiercer than ever—and America is still struggling to decide where her heart truly lies. Is it with Maxon, who could make her life a fairy tale? Or with her first love, Aspen?",6,2013
7,A Walk to Remember,,"There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks.",7,2017
8,The Flatshare,9781787474406,Tiffy and Leon share a flat,8,2019
9,Jurassic Park,,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price.",9,2012
10,Educated,,A newer edition of ISBN 9780399590504 can be found here.,10,2018
11,The Wright Brothers,,Librarian's note: An alternate cover edition can be found here,2,2015
12,Inferno,9780812970067,"Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the Inferno, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an Inferno that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.",11,2003
13,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",9780609608449,"Author Erik Larson imbues the incredible events surrounding the 1893 Chicago World's Fair with such drama that readers may find themselves checking the book's categorization to be sure that 'The Devil in the White City' is not, in fact, a highly imaginative novel. Larson tells the stories of two men: Daniel H. Burnham, the architect responsible for the fair's construction, and H.H. Holmes, a serial killer masquerading as a charming doctor.",12,2003
14,Hiroshima,9780679721031,"On August 6, 1945, Hiroshima was destroyed by the first atom bomb ever dropped on a city. This book, John Hersey's journalistic masterpiece, tells what happened on that day. Told through the memories of survivors, this timeless, powerful and compassionate document has become a classic ""that stirs the conscience of humanity"" (The New York Times).",13,1989
15,The Bhagavad Gita,9780140449181,"The Mahabharata incorporates Bhagavad-Gita, a sacred Hindu text that takes the form of a philosophical dialogue in which Krishna instructs Arjuna, the prince, in ethical matters and the nature of God.",14,2003
16,The Autobiography of Malcolm X,,Alternate cover for ISBN 9780345350688,9,2015
17,The Maze Runner,9780385737944,There are alternate cover editions for this ASIN here and here.,15,2009
18,The Wise Man's Fear,9780756404734,"“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”",16,2011
19,Steve Jobs,9781451648539,"Walter Isaacson's worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years--as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues--Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. Isaacson's portrait touched millions of readers. At a time when America is seeking ways to sustain its innovative edge, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in the twenty-first century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with the author, he asked for no control over what was written. He put nothing off-limits. He encouraged the people he knew to speak honestly. He himself spoke candidly about the people he worked with and competed against. His friends, foes, and colleagues offer an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values. Steve Jobs is the inspiration for the movie of the same name starring Michael Fassbender, Kate Winslet, Seth Rogen, and Jeff Daniels, directed by Danny Boyle with a screenplay by Aaron Sorkin.",2,2011
20,Benjamin Franklin: An American Life,9780743258074,"Benjamin Franklin is the Founding Father who winks at us. An ambitious urban entrepreneur who rose up the social ladder, from leather-aproned shopkeeper to dining with kings, he seems made of flesh rather than of marble. In bestselling author Walter Isaacson's vivid and witty full-scale biography, we discover why Franklin seems to turn to us from history's stage with eyes that twinkle from behind his new-fangled spectacles. By bringing Franklin to life, Isaacson shows how he helped to define both his own time and ours.",2,2004
21,"Memories, Dreams, Reflections",9780679723950,"In the spring of 1957, when he was eighty-one years old, C. G. Jung undertook the telling of his life story. At regular intervals he had conversations with his colleague and friend Aniela Jaffé, and collaborated with her in the preparation of the text based on these talks. On occasion, he was moved to write entire chapters of the book in his own hand, and he continued to work on the final stages of the manuscript until shortly before his death on June 6, 1961.This edition of Memories, Dreams, Reflections includes Jung's VII Sermones ad Mortuos. It is a fully corrected edition. From the Trade Paperback edition.",13,1989
22,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,9780670025817,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics.",17,2013
23,One Last Stop,9781250244499,A new romantic comedy that will stop readers in their tracks...,18,2021
24,Six of Crows,,Alternate cover edition of ISBN 9781627792127 which can be found here:,19,2015
25,The Pilgrim's Progress,,"This famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.",20,2003
26,The Decline and Fall of the Roman Empire,,The History of the Decline and Fall of the Roman Empire (sometimes shortened to Fall of the Roman Empire) is a book of history written by the English historian Edward Gibbon. It traces the trajectory of Western civilization (as well as the Islamic and Mongolian conquests) from the height of the Roman Empire to the fall of Byzantium.,11,2003
27,Heir of Fire,,"Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?",21,2023
28,Endurance: Shackleton's Incredible Voyage,,"The harrowing tale of British explorer Ernest Shackleton's 1914 attempt to reach the South Pole, one of the greatest adventure stories of the modern age.",22,1999
29,Beach Read,9781984806734,A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.,23,2020
30,The Great Divorce,,Alternative cover for ISBN: 978-0-00-746123-3,24,2015
31,Fifty Shades Darker,9781612130583,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.",25,2011
32,1491: New Revelations of the Americas Before Columbus,9781400032051,"In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.",13,2006
33,The Handmaid’s Tale,,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…",26,1998
34,"Get a Life, Chloe Brown",9780062941206,"Chloe Brown is a chronically ill computer geek with a goal, a plan, and a list. After almost—but not quite—dying, she’s come up with six directives to help her “Get a Life”, and she’s already completed the first: finally moving out of her glamourous family’s mansion. The next items?",27,2019
35,It Ends with Us,,Sometimes it is the one who loves you who hurts you the most.,28,2016
36,Genghis Khan and the Making of the Modern World,,"The name Genghis Khan often conjures the image of a relentless, bloodthirsty barbarian on horseback leading a ruthless band of nomadic warriors in the looting of the civilized world. But the surprising truth is that Genghis Khan was a visionary leader whose conquests joined backward Europe with the flourishing cultures of Asia to trigger a global awakening, an unprecedented explosion of technologies, trade, and ideas. In Genghis Khan and the Making of the Modern World, Jack Weatherford, the only Western scholar ever to be allowed into the Mongols’ “Great Taboo”—Genghis Khan’s homeland and forbidden burial site—tracks the astonishing story of Genghis Khan and his descendants, and their conquest and transformation of the world.",29,2018
37,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,9780553256697,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue.",30,1974
38,Artemis,9780553448122,Jazz Bashara is a criminal.,31,2017
39,Alexander Hamilton,,An alternate cover edition can be found here.,32,2005
40,Old Man's War,,John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.,33,2007
41,The Golden Compass,9780679879244,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.",34,1996
42,Menti tribali: Perché le brave persone di dividono su politica e religione,9788875789701,"Una suggestiva indagine dei meccanismi profondi che regolano la nostra esistenza, le decisioni che prendiamo e i valori che condividiamo o che rifiutiamo. Da vent’anni, lo psicologo morale e filosofo Jonathan Haidt indaga i meccanismi profondi che regolano la nostra esistenza, le decisioni che prendiamo, i valori che crediamo universali, che condividiamo o che rifiutiamo. Secondo Haidt il giudizio morale è la bussola che, dalle piccole scelte quotidiane ai grandi temi della politica e della religione, orienta la tendenza naturale dell’uomo a riunirsi in tribù e a dividersi su ciò che si ritiene essere giusto o sbagliato. Arrivato ai vertici della classifica del “New York Times”, Menti tribali è un libro che propone una via alla convivenza e al dialogo, partendo dalla comprensione dei processi biologici ancestrali da cui nasce la nostra ricerca del bene.",35,2021
43,God Is Not Great: How Religion Poisons Everything,9780446579803,"God Is Not Great makes the ultimate case against religion. In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive, and distorts the very origins of the cosmos. Above all, Hitchens argues that the concept of an omniscient God has profoundly damaged humanity, and proposes that the world might be a great deal better off without ""him.""",36,2007
44,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",,"In the 1880s, as the European powers were carving up Africa, King Leopold II of Belgium seized for himself the vast and mostly unexplored territory surrounding the Congo River. Carrying out a genocidal plundering of the Congo, he looted its rubber, brutalized its people, and ultimately slashed its population by ten million--all the while shrewdly cultivating his reputation as a great humanitarian. Heroic efforts to expose these crimes eventually led to the first great human rights movement of the twentieth century, in which everyone from Mark Twain to the Archbishop of Canterbury participated. King Leopold's Ghost is the haunting account of a megalomaniac of monstrous proportions, a man as cunning, charming, and cruel as any of the great Shakespearean villains. It is also the deeply moving portrait of those who fought Leopold: a brave handful of missionaries, travelers, and young idealists who went to Africa for work or adventure and unexpectedly found themselves witnesses to a holocaust. Adam Hochschild brings this largely untold story alive with the wit and skill of a Barbara Tuchman. Like her, he knows that history often provides a far richer cast of characters than any novelist could invent. Chief among them is Edmund Morel, a young British shipping agent who went on to lead the international crusade against Leopold. Another hero of this tale, the Irish patriot Roger Casement, ended his life on a London gallows. Two courageous black Americans, George Washington Williams and William Sheppard, risked much to bring evidence of the Congo atrocities to the outside world. Sailing into the middle of the story was a young Congo River steamboat officer named Joseph Conrad. And looming above them all, the duplicitous billionaire King Leopold II. With great power and compassion, will brand the tragedy of the Congo--too long forgotten--onto the conscience of the West",37,1999
45,Mindset: The New Psychology of Success,,A newer edition of this book can be found here.,10,2006
46,All Systems Red,,"""As a heartless killing machine, I was a complete failure.""",38,2017
47,Dune,9780593099322,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...",39,2019
48,SPQR: A History of Ancient Rome,9781631492228,"In SPQR, an instant classic, Mary Beard narrates the history of Rome ""with passion and without technical jargon"" and demonstrates how ""a slightly shabby Iron Age village"" rose to become the ""undisputed hegemon of the Mediterranean"" (Wall Street Journal). Hailed by critics as animating ""the grand sweep and the intimate details that bring the distant past vividly to life"" (Economist) in a way that makes ""your hair stand on end"" (Christian Science Monitor) and spanning nearly a thousand years of history, this ""highly informative, highly readable"" (Dallas Morning News) work examines not just how we think of ancient Rome but challenges the comfortable historical perspectives that have existed for centuries. With its nuanced attention to class, democratic struggles, and the lives of entire groups of people omitted from the historical narrative for centuries, will to shape our view of Roman history for decades to come.",40,2016
49,The Name of the Wind,9780756404079,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.",41,2007
50,The Purpose Driven Life: What on Earth Am I Here for?,9780310276999,"A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creating you will reduce your stress, focus your energy, simplify your decisions, give meaning to your life, and most important, prepare you for eternity.",42,2007
51,The Psychopath Test: A Journey Through the Madness Industry,9781594485756,"In this madcap journey, a bestselling journalist investigates psychopaths and the industry of doctors, scientists, and everyone else who studies them.",43,2012
