title,author,genres,synopsis,publisher,year,isbn,cover,url
The Screwtape Letters,C.S. Lewis,"['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Fantasy', 'Theology']",A Masterpiece of Satire on Hell’s Latest Novelties and Heaven’s Unanswerable Answer,HarperCollins e-books,2009,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1476379778i/8130077.jpg,https://www.goodreads.com/book/show/8130077-the-screwtape-letters
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"['History', 'Nonfiction', 'World War II', 'War', 'Politics', 'Germany', 'Historical']",Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.,Simon & Schuster,1990,9780671728687,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331223772i/767171.jpg,https://www.goodreads.com/book/show/767171.The_Rise_and_Fall_of_the_Third_Reich
Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"['Science', 'Nonfiction', 'Psychology', 'Biology', 'Neuroscience', 'Philosophy', 'Anthropology']",Why do we do the things we do?,Penguin Press,2017,9781594205071,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517732866i/31170723.jpg,https://www.goodreads.com/book/show/31170723-behave
Harry Potter and the Half-Blood Prince,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']","It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...",Scholastic Inc,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Science', 'Sociology', 'Audiobook']","Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way.",Back Bay Books,2007,9780316010665,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440763417i/40102.jpg,https://www.goodreads.com/book/show/40102.Blink
The Elite,Kiera Cass,"['Romance', 'Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction']","The Selection began with thirty-five girls. Now with the group narrowed down to the six Elite, the competition to win Prince Maxon's heart is fiercer than ever—and America is still struggling to decide where her heart truly lies. Is it with Maxon, who could make her life a fairy tale? Or with her first love, Aspen?",HarperTeen,2013,9780062059963,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391454595i/16248068.jpg,https://www.goodreads.com/book/show/16248068-the-elite
A Walk to Remember,Nicholas Sparks,"['Romance', 'Fiction', 'Contemporary', 'Young Adult', 'Chick Lit', 'Adult', 'Contemporary Romance']","There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks.",Grand Central Publishing,2017,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737.jpg,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
The Flatshare,Beth O'Leary,"['Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Contemporary Romance', 'Audiobook', 'Adult']",Tiffy and Leon share a flat,Quercus,2019,9781787474406,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1552471375i/36478784.jpg,https://www.goodreads.com/book/show/36478784-the-flatshare
Jurassic Park,Michael Crichton,"['Science Fiction', 'Fiction', 'Thriller', 'Adventure', 'Fantasy', 'Horror', 'Classics']","An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price.",Ballantine Books,2012,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg,https://www.goodreads.com/book/show/40604658-jurassic-park
Educated,Tara Westover,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club']",A newer edition of ISBN 9780399590504 can be found here.,Random House,2018,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1506026635i/35133922.jpg,https://www.goodreads.com/book/show/35133922-educated
